path,class,class_id,fold,snr_db,original_file
data\processed\clean\fold1\background\ch05_clip0070.wav,background,0,1,clean,ch05_clip0070.wav
data\processed\clean\fold1\background\ch06_clip0005.wav,background,0,1,clean,ch06_clip0005.wav
data\processed\clean\fold1\background\ch06_clip0015.wav,background,0,1,clean,ch06_clip0015.wav
data\processed\clean\fold1\background\ch06_clip0025.wav,background,0,1,clean,ch06_clip0025.wav
data\processed\clean\fold1\background\ch06_clip0035.wav,background,0,1,clean,ch06_clip0035.wav
data\processed\clean\fold1\background\ch06_clip0045.wav,background,0,1,clean,ch06_clip0045.wav
data\processed\clean\fold1\background\ch06_clip0055.wav,background,0,1,clean,ch06_clip0055.wav
data\processed\clean\fold1\background\ch06_clip0065.wav,background,0,1,clean,ch06_clip0065.wav
data\processed\clean\fold1\background\ch07_clip0000.wav,background,0,1,clean,ch07_clip0000.wav
data\processed\clean\fold1\background\ch07_clip0010.wav,background,0,1,clean,ch07_clip0010.wav
data\processed\clean\fold1\background\ch07_clip0020.wav,background,0,1,clean,ch07_clip0020.wav
data\processed\clean\fold1\background\ch07_clip0030.wav,background,0,1,clean,ch07_clip0030.wav
data\processed\clean\fold1\background\ch07_clip0040.wav,background,0,1,clean,ch07_clip0040.wav
data\processed\clean\fold1\background\ch07_clip0050.wav,background,0,1,clean,ch07_clip0050.wav
data\processed\clean\fold1\background\ch07_clip0060.wav,background,0,1,clean,ch07_clip0060.wav
data\processed\clean\fold1\background\ch07_clip0070.wav,background,0,1,clean,ch07_clip0070.wav
data\processed\clean\fold1\background\ch08_clip0005.wav,background,0,1,clean,ch08_clip0005.wav
data\processed\clean\fold1\background\ch08_clip0015.wav,background,0,1,clean,ch08_clip0015.wav
data\processed\clean\fold1\background\ch08_clip0025.wav,background,0,1,clean,ch08_clip0025.wav
data\processed\clean\fold1\background\ch08_clip0035.wav,background,0,1,clean,ch08_clip0035.wav
data\processed\clean\fold1\background\ch08_clip0045.wav,background,0,1,clean,ch08_clip0045.wav
data\processed\clean\fold1\background\ch08_clip0055.wav,background,0,1,clean,ch08_clip0055.wav
data\processed\clean\fold1\background\ch08_clip0065.wav,background,0,1,clean,ch08_clip0065.wav
data\processed\clean\fold1\background\ch09_clip0000.wav,background,0,1,clean,ch09_clip0000.wav
data\processed\clean\fold1\background\ch09_clip0010.wav,background,0,1,clean,ch09_clip0010.wav
data\processed\clean\fold1\background\ch09_clip0020.wav,background,0,1,clean,ch09_clip0020.wav
data\processed\clean\fold1\background\ch09_clip0030.wav,background,0,1,clean,ch09_clip0030.wav
data\processed\clean\fold1\background\ch09_clip0040.wav,background,0,1,clean,ch09_clip0040.wav
data\processed\clean\fold1\background\ch09_clip0050.wav,background,0,1,clean,ch09_clip0050.wav
data\processed\clean\fold1\background\ch09_clip0060.wav,background,0,1,clean,ch09_clip0060.wav
data\processed\clean\fold1\background\ch09_clip0070.wav,background,0,1,clean,ch09_clip0070.wav
data\processed\clean\fold1\background\ch10_clip0005.wav,background,0,1,clean,ch10_clip0005.wav
data\processed\clean\fold1\background\ch10_clip0015.wav,background,0,1,clean,ch10_clip0015.wav
data\processed\clean\fold1\background\ch10_clip0025.wav,background,0,1,clean,ch10_clip0025.wav
data\processed\clean\fold1\background\ch10_clip0035.wav,background,0,1,clean,ch10_clip0035.wav
data\processed\clean\fold1\background\ch10_clip0045.wav,background,0,1,clean,ch10_clip0045.wav
data\processed\clean\fold1\background\ch10_clip0055.wav,background,0,1,clean,ch10_clip0055.wav
data\processed\clean\fold1\background\ch10_clip0065.wav,background,0,1,clean,ch10_clip0065.wav
data\processed\clean\fold1\background\ch11_clip0000.wav,background,0,1,clean,ch11_clip0000.wav
data\processed\clean\fold1\background\ch11_clip0010.wav,background,0,1,clean,ch11_clip0010.wav
data\processed\clean\fold1\background\ch11_clip0020.wav,background,0,1,clean,ch11_clip0020.wav
data\processed\clean\fold1\background\ch11_clip0030.wav,background,0,1,clean,ch11_clip0030.wav
data\processed\clean\fold1\background\ch11_clip0040.wav,background,0,1,clean,ch11_clip0040.wav
data\processed\clean\fold1\background\ch11_clip0050.wav,background,0,1,clean,ch11_clip0050.wav
data\processed\clean\fold1\background\ch11_clip0060.wav,background,0,1,clean,ch11_clip0060.wav
data\processed\clean\fold1\background\ch11_clip0070.wav,background,0,1,clean,ch11_clip0070.wav
data\processed\clean\fold1\background\ch12_clip0005.wav,background,0,1,clean,ch12_clip0005.wav
data\processed\clean\fold1\background\ch12_clip0015.wav,background,0,1,clean,ch12_clip0015.wav
data\processed\clean\fold1\background\ch12_clip0025.wav,background,0,1,clean,ch12_clip0025.wav
data\processed\clean\fold1\background\ch12_clip0035.wav,background,0,1,clean,ch12_clip0035.wav
data\processed\clean\fold1\background\ch12_clip0045.wav,background,0,1,clean,ch12_clip0045.wav
data\processed\clean\fold1\background\ch12_clip0055.wav,background,0,1,clean,ch12_clip0055.wav
data\processed\clean\fold1\background\ch12_clip0065.wav,background,0,1,clean,ch12_clip0065.wav
data\processed\clean\fold1\background\ch13_clip0000.wav,background,0,1,clean,ch13_clip0000.wav
data\processed\clean\fold1\background\ch13_clip0010.wav,background,0,1,clean,ch13_clip0010.wav
data\processed\clean\fold1\background\ch13_clip0020.wav,background,0,1,clean,ch13_clip0020.wav
data\processed\clean\fold1\background\ch13_clip0030.wav,background,0,1,clean,ch13_clip0030.wav
data\processed\clean\fold1\background\ch13_clip0040.wav,background,0,1,clean,ch13_clip0040.wav
data\processed\clean\fold1\background\ch13_clip0050.wav,background,0,1,clean,ch13_clip0050.wav
data\processed\clean\fold1\background\ch13_clip0060.wav,background,0,1,clean,ch13_clip0060.wav
data\processed\clean\fold1\background\ch13_clip0070.wav,background,0,1,clean,ch13_clip0070.wav
data\processed\clean\fold1\background\ch14_clip0005.wav,background,0,1,clean,ch14_clip0005.wav
data\processed\clean\fold1\background\ch14_clip0015.wav,background,0,1,clean,ch14_clip0015.wav
data\processed\clean\fold1\background\ch14_clip0025.wav,background,0,1,clean,ch14_clip0025.wav
data\processed\clean\fold1\background\ch14_clip0035.wav,background,0,1,clean,ch14_clip0035.wav
data\processed\clean\fold1\background\ch14_clip0045.wav,background,0,1,clean,ch14_clip0045.wav
data\processed\clean\fold1\background\ch14_clip0055.wav,background,0,1,clean,ch14_clip0055.wav
data\processed\clean\fold1\background\ch14_clip0065.wav,background,0,1,clean,ch14_clip0065.wav
data\processed\clean\fold1\background\ch15_clip0000.wav,background,0,1,clean,ch15_clip0000.wav
data\processed\clean\fold1\background\ch15_clip0010.wav,background,0,1,clean,ch15_clip0010.wav
data\processed\clean\fold1\background\ch15_clip0020.wav,background,0,1,clean,ch15_clip0020.wav
data\processed\clean\fold1\background\ch15_clip0030.wav,background,0,1,clean,ch15_clip0030.wav
data\processed\clean\fold1\background\ch15_clip0040.wav,background,0,1,clean,ch15_clip0040.wav
data\processed\clean\fold1\background\ch15_clip0050.wav,background,0,1,clean,ch15_clip0050.wav
data\processed\clean\fold1\background\ch15_clip0060.wav,background,0,1,clean,ch15_clip0060.wav
data\processed\clean\fold1\background\ch15_clip0070.wav,background,0,1,clean,ch15_clip0070.wav
data\processed\clean\fold1\background\ch16_clip0005.wav,background,0,1,clean,ch16_clip0005.wav
data\processed\clean\fold1\background\ch16_clip0015.wav,background,0,1,clean,ch16_clip0015.wav
data\processed\clean\fold1\background\ch16_clip0025.wav,background,0,1,clean,ch16_clip0025.wav
data\processed\clean\fold1\background\ch16_clip0035.wav,background,0,1,clean,ch16_clip0035.wav
data\processed\clean\fold1\background\ch16_clip0045.wav,background,0,1,clean,ch16_clip0045.wav
data\processed\clean\fold1\background\ch16_clip0055.wav,background,0,1,clean,ch16_clip0055.wav
data\processed\clean\fold1\background\ch16_clip0065.wav,background,0,1,clean,ch16_clip0065.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0010.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0010.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0013.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0013.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0019.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0019.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0049.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0049.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0069.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0069.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0091.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0091.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0095.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0095.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0108.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0108.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0114.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0114.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0169.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0169.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0212.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0212.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0218.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0218.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0219.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0219.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0236.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0236.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0244.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0244.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0249.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0249.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0251.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0251.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0309.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0309.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0330.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0330.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0385.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0385.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0392.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0392.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0395.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0395.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0407.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0407.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0411.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0411.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0473.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0473.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0500.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0500.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0520.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0520.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0527.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0527.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0530.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0530.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0552.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0552.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0593.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0593.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0600.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0600.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0610.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0610.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0624.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0624.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0664.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0664.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0699.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0699.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0707.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0707.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0717.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0717.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0720.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0720.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0764.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0764.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0778.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0778.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0784.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0784.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0839.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0839.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0862.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0862.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0874.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0874.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0885.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0885.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0936.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0936.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0959.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0959.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+0dB_0999.wav,background,0,1,clean,synth_fold1_TCAR_+0dB_0999.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0031.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0031.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0047.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0047.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0088.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0088.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0089.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0089.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0119.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0119.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0127.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0127.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0137.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0137.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0155.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0155.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0168.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0168.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0190.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0190.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0193.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0193.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0195.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0195.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0253.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0253.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0306.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0306.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0345.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0345.wav
data\processed\clean\fold1\background\synth_fold1_TCAR_+10dB_0348.wav,background,0,1,clean,synth_fold1_TCAR_+10dB_0348.wav
